run_id,log,arm,model,step,reward,K_train,invalid,gen_len,p_model,mean_K,slope,k_at_p_lo,k_at_p_hi,p_lo,p_hi
r1_loo_smoke,results/r1_loo_smoke.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,2,88.33,0.92,0.00,2220.2,0.917,,,,,,
r1_smoke,results/r1_smoke.log,evidential_modelpred,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0,,,,,,0.750,+0.50,0.50,1.00,0.50,0.99
evidential_modelpred_r1_smoke2,results/r1_smoke2.log,evidential_modelpred,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1,99.51,1.00,0.00,1855.8,0.995,,,,,,
evidential_modelpred_r1_smoke2,results/r1_smoke2.log,evidential_modelpred,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,2,90.00,0.75,0.00,2048.0,1.000,0.500,+1.00,0.00,1.00,0.50,0.99
evidential_cot,results/rl_cot.log,evidential,Qwen/Qwen2.5-3B-Instruct,0,,,,,,0.440,+0.50,0.00,0.50,0.50,0.99
evidential_cot,results/rl_cot.log,evidential,Qwen/Qwen2.5-3B-Instruct,1,43.20,0.16,0.48,128.0,,,,,,,
evidential_cot,results/rl_cot.log,evidential,Qwen/Qwen2.5-3B-Instruct,20,82.60,0.64,0.00,128.0,,0.400,-0.20,0.40,0.20,0.50,0.99
evidential_cot,results/rl_cot.log,evidential,Qwen/Qwen2.5-3B-Instruct,40,76.00,0.80,0.00,127.7,,0.650,+0.10,0.70,0.80,0.50,0.99
evidential_cot,results/rl_cot.log,evidential,Qwen/Qwen2.5-3B-Instruct,60,64.60,0.40,0.00,128.0,,0.662,+0.10,0.70,0.80,0.50,0.99
evidential,results/rl_run.log,evidential,Qwen/Qwen2.5-3B-Instruct,0,,,,,,0.856,+0.05,0.85,0.90,0.50,0.99
evidential,results/rl_run.log,evidential,Qwen/Qwen2.5-3B-Instruct,1,79.38,0.52,0.00,2.0,,,,,,,
evidential,results/rl_run.log,evidential,Qwen/Qwen2.5-3B-Instruct,50,84.00,0.12,0.00,2.0,,0.037,+0.00,0.05,0.05,0.50,0.99
evidential,results/rl_run.log,evidential,Qwen/Qwen2.5-3B-Instruct,100,72.38,0.88,0.00,2.0,,0.481,-0.15,0.65,0.50,0.50,0.99
evidential,results/rl_run.log,evidential,Qwen/Qwen2.5-3B-Instruct,150,85.00,0.12,0.00,2.0,,0.531,-0.10,0.65,0.55,0.50,0.99
evidential_cot_kl002,results/run_cot_kl002.log,evidential,Qwen/Qwen2.5-3B-Instruct,0,,,,,,0.703,+0.00,0.75,0.75,0.50,0.99
evidential_cot_kl002,results/run_cot_kl002.log,evidential,Qwen/Qwen2.5-3B-Instruct,1,70.80,0.52,0.08,128.0,,,,,,,
evidential_cot_kl002,results/run_cot_kl002.log,evidential,Qwen/Qwen2.5-3B-Instruct,20,79.00,0.60,0.04,128.0,,0.688,+0.00,0.88,0.88,0.50,0.99
