run_id,log,step,pos,p,k_rate
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,75,0,0.80,0.50
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,75,1,0.80,0.50
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,90,0,0.80,0.50
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,90,1,0.80,0.50
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,105,0,0.80,0.50
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,105,1,0.80,0.50
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,120,0,0.80,0.50
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,120,1,0.80,0.50
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,135,0,0.80,0.50
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,135,1,0.80,0.50
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,150,0,0.80,0.50
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,150,1,0.80,0.50
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,0,0,0.80,0.80
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,0,1,0.80,0.80
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,15,0,0.80,0.40
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,15,1,0.80,0.40
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,30,0,0.80,0.35
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,30,1,0.80,0.35
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,45,0,0.80,0.50
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,45,1,0.80,0.50
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,60,0,0.80,0.50
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,60,1,0.80,0.50
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,75,0,0.80,0.50
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,75,1,0.80,0.50
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,90,0,0.80,0.50
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,90,1,0.80,0.50
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,105,0,0.80,0.50
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,105,1,0.80,0.50
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,120,0,0.80,0.50
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,120,1,0.80,0.50
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,135,0,0.80,0.50
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,135,1,0.80,0.50
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,150,0,0.80,0.50
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,150,1,0.80,0.50
evidential_modelpred_hyst_causal_baseref,results/selfsnapshot/hyst_causal_baseref.log,0,0,0.80,0.00
evidential_modelpred_hyst_causal_baseref,results/selfsnapshot/hyst_causal_baseref.log,0,1,0.80,0.00
evidential_modelpred_hyst_causal_baseref,results/selfsnapshot/hyst_causal_baseref.log,15,0,0.80,0.00
evidential_modelpred_hyst_causal_baseref,results/selfsnapshot/hyst_causal_baseref.log,15,1,0.80,0.00
evidential_modelpred_hyst_causal_baseref,results/selfsnapshot/hyst_causal_baseref.log,30,0,0.80,0.00
evidential_modelpred_hyst_causal_baseref,results/selfsnapshot/hyst_causal_baseref.log,30,1,0.80,0.00
evidential_modelpred_hyst_causal_baseref,results/selfsnapshot/hyst_causal_baseref.log,45,0,0.80,0.00
evidential_modelpred_hyst_causal_baseref,results/selfsnapshot/hyst_causal_baseref.log,45,1,0.80,0.00
evidential_modelpred_hyst_causal_baseref,results/selfsnapshot/hyst_causal_baseref.log,60,0,0.80,0.00
evidential_modelpred_hyst_causal_baseref,results/selfsnapshot/hyst_causal_baseref.log,60,1,0.80,0.00
evidential_modelpred_hyst_causal_baseref,results/selfsnapshot/hyst_causal_baseref.log,75,0,0.80,0.00
evidential_modelpred_hyst_causal_baseref,results/selfsnapshot/hyst_causal_baseref.log,75,1,0.80,0.00
evidential_modelpred_hyst_causal_baseref,results/selfsnapshot/hyst_causal_baseref.log,90,0,0.80,0.00
evidential_modelpred_hyst_causal_baseref,results/selfsnapshot/hyst_causal_baseref.log,90,1,0.80,0.00
evidential_modelpred_hyst_causal_baseref,results/selfsnapshot/hyst_causal_baseref.log,105,0,0.80,0.00
evidential_modelpred_hyst_causal_baseref,results/selfsnapshot/hyst_causal_baseref.log,105,1,0.80,0.00
evidential_modelpred_hyst_causal_baseref,results/selfsnapshot/hyst_causal_baseref.log,120,0,0.80,0.00
evidential_modelpred_hyst_causal_baseref,results/selfsnapshot/hyst_causal_baseref.log,120,1,0.80,0.00
evidential_modelpred_hyst_causal_baseref,results/selfsnapshot/hyst_causal_baseref.log,135,0,0.80,0.00
