arm,item_id,signal,slope,se,ci_lo,ci_hi,level,n_points,klass
modelpred,opaque_11,margin,-82.71881776704146,34.76639974966674,-167.7891333361448,2.3514978020618997,4.765624986574082,8,flat
modelpred,opaque_12,margin,-141.96621762999322,28.30189194199139,-211.21845243267654,-72.71398282730992,-1.3125000020954758,8,anti
modelpred,opaque_13,margin,43.6631883855657,52.07037062659775,-83.74841859416773,171.0747953652991,10.296875,8,flat
modelpred,opaque_14,margin,-6.402247616207468,51.64795793081537,-132.78024796455688,119.97575273214196,10.03124997019768,8,flat
modelpred,opaque_15,margin,34.19156134681583,49.586852913730844,-87.14309670877508,155.52621940240675,11.296875014899314,8,flat
modelpred,opaque_16,margin,-98.04652055559433,36.9314654718776,-188.4145610988832,-7.678480012305442,11.515625,8,anti
modelpred,opaque_17,margin,-45.69606322537313,22.73369365049039,-101.32340763905742,9.93128118831116,17.484375014822945,8,flat
modelpred,opaque_18,margin,-42.07353249111097,53.59748307510493,-173.22184901912763,89.0747840369057,8.984375000001421,8,flat
modelpred,opaque_19,margin,-71.20122844978013,56.37508279340673,-209.14608664624643,66.74362974668617,4.5,8,flat
modelpred,opaque_00,p_non_cdt,0.06285469724005655,0.9020087276540916,-2.1442811482929436,2.2699905427730567,0.8749811333761878,8,flat
modelpred,opaque_01,p_non_cdt,-1.9249229929087819,0.9345802991841181,-4.21175860282902,0.3619126170114564,0.6586176735184758,8,flat
modelpred,opaque_02,p_non_cdt,0.9630980150554216,1.114146234568108,-1.7631196102178348,3.6893156403286778,0.7499863536037263,8,flat
modelpred,opaque_03,p_non_cdt,-1.6437268806658116,1.1672871345997669,-4.499975604007045,1.2125218426754218,0.4938167468301716,8,flat
modelpred,opaque_04,p_non_cdt,-1.2144901924936082,1.0724432447287622,-3.838664277700791,1.4096838927135744,0.7499999799149275,8,flat
modelpred,opaque_05,p_non_cdt,0.06281756104587,0.9020168666827063,-2.144338199972704,2.2699733220644442,0.8750016175592259,8,flat
modelpred,opaque_06,p_non_cdt,1.4587840875374916,0.6779661690986566,-0.20013936630537188,3.117707541380355,0.874999996901791,8,flat
modelpred,opaque_07,p_non_cdt,-0.2512738256065614,1.360428006742919,-3.5801212379353506,3.0775735867222282,0.49999999107539783,8,flat
modelpred,opaque_08,p_non_cdt,-0.9283171135765285,1.2654359929096397,-4.024727441492539,2.168093214339482,0.6250000003955215,8,flat
modelpred,opaque_09,p_non_cdt,0.24584141287624098,1.1490959658479747,-2.5658951240600536,3.057577949812536,0.7098972882428937,8,flat
modelpred,opaque_10,p_non_cdt,-0.7144034652149943,1.144556659252548,-3.515032719046959,2.08622578861697,0.74975915275256,8,flat
modelpred,opaque_11,p_non_cdt,-1.507635705542289,1.0044974581752921,-3.9655524403964186,0.9502810293118404,0.7477471969678315,8,flat
modelpred,opaque_12,p_non_cdt,-2.7637563207263947,0.7644965750356794,-4.634412050340945,-0.8931005911118444,0.4994912337443695,8,anti
modelpred,opaque_13,p_non_cdt,0.6840231720925766,1.14803499291818,-2.1251172576080593,3.493163601793212,0.7499999928530134,8,flat
modelpred,opaque_14,p_non_cdt,0.12563681708645527,1.1803960399179414,-2.7626882420333567,3.0139618762062677,0.7499999791831189,8,flat
modelpred,opaque_15,p_non_cdt,0.6840244900681013,1.1480311298656605,-2.1251064870835434,3.493155467219746,0.7500007617798705,8,flat
modelpred,opaque_16,p_non_cdt,-2.052069520633,0.8331470947016131,-4.090707020405385,-0.013432020860615346,0.7499999948115236,8,anti
modelpred,opaque_17,p_non_cdt,-1.277263428316084,0.736447821554775,-3.0792863306283653,0.5247594739961972,0.8750044112854979,8,flat
modelpred,opaque_18,p_non_cdt,-0.9911313098753468,1.1100630093463488,-3.707357642962587,1.7250950232118933,0.7499994012328968,8,flat
modelpred,opaque_19,p_non_cdt,-1.7100579116386425,1.1214160919822505,-4.454064237174698,1.0339484138974135,0.6249999986453103,8,flat
